title,date,duration,yes_votes,no_votes,winners,losers,outcome,category
Noita Soler TI 18-27 5 Options,2025-08-01 07:53:10,00:13:24,84,221,221,84,Lost,Twitch Integration
Noita Nightmare Run,2025-08-01 08:21:53,02:24:44,206,144,206,144,Won,Nightmare
Noita Finding All 18 Unique Wands Run,2025-08-02 04:13:44,14:32:17,895,66,895,66,Won,Other
Gungeon Lich Boss Kill,2025-08-07 08:03:56,00:10:56,80,82,80,82,Won,Enter the Gungeon
Gungeon Crest Delivery,2025-08-07 08:52:45,00:06:08,36,79,79,36,Lost,Enter the Gungeon
Gungeon Gunslinger Unlock,2025-08-07 10:24:37,00:08:51,185,17,185,17,Won,Enter the Gungeon
Noita Soler TI 18-27,2025-08-08 07:26:34,00:20:18,80,233,80,233,Won,Twitch Integration
Noita IndoorCat Cursed Seed Run,2025-08-08 08:36:17,01:36:27,313,107,107,313,Lost,Other
Noita Soler TI 18-27,2025-08-08 12:02:05,00:16:24,72,196,196,72,Lost,Twitch Integration
Noita Cursed Seed 11 Orb Attempt 2,2025-08-09 06:37:17,01:22:30,250,125,125,250,Lost,Other
Noita Evil Seed Run,2025-08-09 08:16:13,04:37:51,178,194,178,194,Won,Other
Noita Soler TI 13-30,2025-08-10 07:12:12,00:19:13,107,279,279,107,Lost,Twitch Integration
Noita Soler TI 13-30,2025-08-10 07:47:58,00:18:31,84,264,264,84,Lost,Twitch Integration
Noita Daily Practice Run,2025-08-10 08:15:10,00:51:44,240,52,240,52,Won,Daily Run
Noita Power Hour 7 Wins,2025-08-10 09:24:44,01:19:52,135,197,135,197,Won,Power Hour
Noita Soler TI 20-30,2025-08-10 11:53:03,00:17:28,90,227,227,90,Lost,Twitch Integration
Gungeon Robot Past Kill,2025-08-13 11:44:18,00:09:04,84,54,84,54,Won,Enter the Gungeon
Project Fleet High Score 30k+,2025-08-14 10:04:47,00:24:37,34,56,56,34,Lost,Project Fleet
Noita All Boss Daily Run,2025-08-15 05:17:40,04:26:35,393,25,393,25,Won,Daily Run
Noita Daily Practice Run,2025-08-15 09:58:40,00:17:19,124,109,109,124,Lost,Daily Run
Noita Soler TI 13-26,2025-08-15 11:12:52,00:14:56,70,212,212,70,Lost,Twitch Integration
Noita Giga Nuke Unlock Daily Run,2025-08-16 06:09:11,06:07:38,380,24,380,24,Won,Daily Run
Noita Power Words 1 Hour,2025-08-17 06:12:16,01:11:52,53,228,228,53,Lost,Power Words
Noita Daily Run Building A Pollen Engine,2025-08-17 08:25:45,06:39:54,513,32,513,32,Won,Daily Run
Enter The Gungeon No Hit First Boss,2025-08-20 11:16:38,00:03:52,50,57,57,50,Lost,Enter the Gungeon
Noita Deathium Fungal Shift Daily Run,2025-08-22 06:42:16,05:38:45,264,78,264,78,Won,Daily Run
Noita Random Spawn Start Basic Win,2025-08-23 05:34:19,00:17:56,153,90,90,153,Lost,Other
Noita Random Spawn Basic Win,2025-08-23 06:09:55,00:15:01,121,83,83,121,Lost,Other
Noita Fungal Pain All Boss Daily Run,2025-08-23 06:35:15,03:59:31,191,122,122,191,Lost,Daily Run
Noita Soler TI 13-37,2025-08-23 10:51:47,00:18:31,76,174,174,76,Lost,Twitch Integration
Noita Soler TI 18-27,2025-08-24 05:19:21,00:09:55,75,204,204,75,Lost,Twitch Integration
Noita Soler TI 18-27,2025-08-24 05:44:22,00:18:07,89,205,205,89,Lost,Twitch Integration
Noita Urine Trouble Daily Run,2025-08-24 06:33:05,04:56:06,517,40,517,40,Won,Daily Run
Noita Soler TI 13-37,2025-08-24 11:32:07,00:27:13,115,186,186,115,Lost,Twitch Integration
Enter The Gungeon Pilot Alt Past Kill,2025-08-27 07:22:11,00:08:49,142,12,142,12,Won,Enter the Gungeon
Enter The Gungeon Beat Phase 2 Rat,2025-08-27 11:00:01,00:07:53,123,15,123,15,Won,Enter the Gungeon
Noita Daily Practice No Wand Start,2025-08-28 06:20:18,01:17:59,229,26,229,26,Won,Daily Run
Noita Roulette Daily Run,2025-08-28 08:10:31,04:05:59,363,29,363,29,Won,Daily Run
Noita Soler TI 16-28,2025-08-28 12:37:28,00:13:18,59,213,213,59,Lost,Twitch Integration
Noita Soler TI 16-28,2025-08-28 12:54:13,00:12:19,66,205,205,66,Lost,Twitch Integration
Noita Hunting For Green Large Golden Idol,2025-08-29 09:14:34,02:02:14,287,27,287,27,Won,Other
Noita Soler TI 18-25,2025-08-29 11:40:29,00:14:40,79,186,186,79,Lost,Twitch Integration
Noita Soler TI 13-37,2025-08-30 06:56:35,00:16:08,75,224,224,75,Lost,Twitch Integration
Noita Fresh File All Boss Run,2025-08-30 07:35:18,05:07:27,505,42,505,42,Won,Other
Noita Weakening Mage Trick Daily Run,2025-08-31 06:04:35,05:29:31,461,36,461,36,Won,Daily Run
Noita Soler TI 13-28,2025-08-31 11:42:32,00:18:56,79,203,203,79,Lost,Twitch Integration
Gungeon No Hit Chamber 3 Boss,2025-09-04 07:17:30,00:10:44,34,105,105,34,Lost,Enter the Gungeon
Gungeon No Hit First Boss,2025-09-04 09:09:31,00:12:18,47,41,47,41,Won,Enter the Gungeon
Gungeon Gun Game 3 out of 4,2025-09-04 10:00:10,00:10:16,34,43,43,34,Lost,Enter the Gungeon
Noita Soler TI 13-37,2025-09-05 07:34:16,00:17:12,69,228,69,228,Won,Twitch Integration
Noita Soler TI 13-30,2025-09-05 08:20:05,00:19:14,58,203,203,58,Lost,Twitch Integration
Noita Chat Chooses Spells Daily Run 11 Orbs,2025-09-05 09:20:13,04:59:10,308,34,308,34,Won,Daily Run
Noita Soler TI 12-27,2025-09-06 07:14:09,00:13:00,62,220,220,62,Lost,Twitch Integration
Noita 10 Dice Daily Run NG+++,2025-09-06 07:48:51,04:59:04,452,40,40,452,Lost,Daily Run
Noita Soler TI 13-37,2025-09-07 07:31:46,00:11:59,85,189,189,85,Lost,Twitch Integration
Noita 10 Dice Run NG+++,2025-09-07 08:14:11,05:08:45,381,75,381,75,Won,Other
Noita Soler TI 12-27,2025-09-07 13:26:05,00:19:51,72,248,248,72,Lost,Twitch Integration
Gungeon Crest Shield Quest,2025-09-10 07:00:41,00:05:09,56,59,59,56,Lost,Enter the Gungeon
Gungeon Rat Boss Kill,2025-09-10 07:42:36,00:14:21,73,86,86,73,Lost,Enter the Gungeon
Gungeon Beat Phase 2 Rat Boss,2025-09-10 09:21:34,00:22:50,108,46,46,108,Lost,Enter the Gungeon
Noita Soler TI 13-37,2025-09-11 06:39:08,00:19:00,65,209,209,65,Lost,Twitch Integration
Noita No Hit No Gold Run 3 + Attempts,2025-09-11 07:23:53,00:54:24,87,172,172,87,Lost,Other
Noita Starting In New Game + Run,2025-09-11 08:44:03,01:56:20,92,60,92,60,Won,Other
Power Words 1 hour,2025-09-11 11:02:14,01:17:07,79,197,197,79,Lost,Power Words
Noita Explosive Wisp Daily Run,2025-09-12 07:01:59,06:19:10,396,30,396,30,Won,Daily Run
Noita Power Words 1 hour,2025-09-13 07:20:30,01:14:25,61,246,246,61,Lost,Power Words
Noita Random Start Location Run,2025-09-13 09:11:31,00:14:41,140,89,89,140,Lost,Random Start
Noita Random Start Location Again,2025-09-13 09:28:44,00:54:01,108,116,116,108,Lost,Random Start
Noita Fungal Pain Daily Run,2025-09-13 10:54:34,01:40:49,270,48,270,48,Won,Daily Run
Noita Supernova Daily Run,2025-09-14 06:10:57,06:27:03,463,35,463,35,Won,Daily Run
Gungeon Punch Out Rat Boss,2025-09-18 08:12:07,00:11:09,90,26,90,26,Won,Enter the Gungeon
Gungeon Beat Punch Out Rat,2025-09-18 08:27:05,00:05:49,41,61,61,41,Lost,Enter the Gungeon
Gungeon Bullet Past Kill,2025-09-18 09:19:20,00:17:43,64,42,64,42,Won,Enter the Gungeon
