title,date,duration,yes_votes,no_votes,winners,losers,outcome
Noita All Enemies Glass Cannon Mod 10 Attempts,2025-05-01 06:34:07,0 days 02:12:26,102,275,102,275,BetOutcome.WIN
Noita Soler TI 18-25,2025-05-01 10:11:20,0 days 00:17:31,59,202,202,59,BetOutcome.LOSS
Noita Power Words 10 Attempts,2025-05-01 11:51:02,0 days 00:40:01,78,177,177,78,BetOutcome.LOSS
Noita All Alter Rain Daily Run,2025-05-02 06:18:59,0 days 05:10:34,414,36,414,36,BetOutcome.WIN
Noita Soler TI 13-37,2025-05-03 05:54:10,0 days 00:24:09,75,160,160,75,BetOutcome.LOSS
Noita Hitman Run,2025-05-03 07:14:30,0 days 06:36:39,442,36,442,36,BetOutcome.WIN
Noita Soler TI 10-20 6 Options 8 Attempts,2025-05-04 06:03:07,0 days 00:27:09,102,186,102,186,BetOutcome.WIN
Noita Star Wars Daily Run,2025-05-04 07:04:23,0 days 06:01:00,486,26,486,26,BetOutcome.WIN
Noita Soler TI 18-25,2025-05-09 05:22:29,0 days 00:13:58,72,196,196,72,BetOutcome.LOSS
Noita Soler TI 17-30,2025-05-09 06:06:52,0 days 00:17:55,81,176,176,81,BetOutcome.LOSS
Noita Holy Lance All Boss Run,2025-05-09 06:50:57,0 days 00:57:19,449,21,21,449,BetOutcome.LOSS
Noita Fungal Pain Run,2025-05-09 07:52:19,0 days 01:40:38,205,117,205,117,BetOutcome.WIN
Noita TI Power Hour 12-18 2 wins,2025-05-09 09:59:15,0 days 01:16:14,168,191,168,191,BetOutcome.WIN
Noita Power Words 5 Attempts,2025-05-10 06:55:43,0 days 00:17:33,120,197,197,120,BetOutcome.LOSS
Noita Power Words 5 MORE Attempts,2025-05-10 07:14:43,0 days 00:17:25,86,244,244,86,BetOutcome.LOSS
Noita Holy Lance All Boss Daily Run,2025-05-10 07:51:48,0 days 03:48:56,467,42,42,467,BetOutcome.LOSS
Noita Soler TI 12-24,2025-05-10 11:43:08,0 days 00:18:38,106,235,235,106,BetOutcome.LOSS
Noita Mother's Day Daily Run,2025-05-11 07:09:12,0 days 06:28:16,477,47,477,47,BetOutcome.WIN
Noita Soler TI 11-25,2025-05-11 13:50:43,0 days 00:16:33,68,287,287,68,BetOutcome.LOSS
Noita Soler TI 11-25,2025-05-11 14:16:35,0 days 00:13:23,81,278,278,81,BetOutcome.LOSS
Noita Soler TI 13-37,2025-05-15 06:06:49,0 days 00:14:33,56,197,56,197,BetOutcome.WIN
Noita 34 Orb Run,2025-05-15 06:37:33,0 days 07:38:25,452,51,452,51,BetOutcome.WIN
Noita Soler TI 12-24,2025-05-16 06:44:52,0 days 00:24:08,91,253,253,91,BetOutcome.LOSS
Noita Isaac Cards Mod Daily Run,2025-05-16 07:50:38,0 days 03:50:46,383,45,383,45,BetOutcome.WIN
Noita Soler TI 16-25,2025-05-16 12:01:13,0 days 00:21:45,78,224,224,78,BetOutcome.LOSS
Noita Soler TI 13-37,2025-05-17 06:53:15,0 days 00:14:08,97,212,212,97,BetOutcome.LOSS
Noita Infinite HP Daily Run,2025-05-17 07:33:34,0 days 06:32:41,546,44,546,44,BetOutcome.WIN
Noita Soler TI 18-26,2025-05-18 07:05:40,0 days 00:14:55,72,292,292,72,BetOutcome.LOSS
Noita 5 Orb Fungal Pain Mod Daily Run,2025-05-18 07:51:53,0 days 02:41:01,259,132,259,132,BetOutcome.WIN
Noita Soler TI 13-37,2025-05-18 12:07:58,0 days 00:17:03,97,268,97,268,BetOutcome.WIN
Noita Plasma Wisp Daily Run,2025-05-22 06:33:14,0 days 05:09:40,392,24,392,24,BetOutcome.WIN
Noita Soler TI 13-37,2025-05-23 06:54:22,0 days 00:10:30,88,188,188,88,BetOutcome.LOSS
Noita Starting In New Game + Daily Run,2025-05-23 08:08:48,0 days 02:00:04,192,89,89,192,BetOutcome.LOSS
Noita Power Hour 6 Wins,2025-05-23 10:19:19,0 days 01:09:43,175,87,175,87,BetOutcome.WIN
Noita Soler TI 12-24,2025-05-23 11:53:12,0 days 00:19:17,104,203,203,104,BetOutcome.LOSS
Noita 4x Enemy Speed 11 Orb Daily Run,2025-05-24 07:06:04,0 days 04:54:42,96,304,96,304,BetOutcome.WIN
Noita Soler TI 13-37,2025-05-24 12:27:12,0 days 00:15:08,122,206,122,206,BetOutcome.WIN
Noita All Boss Run,2025-05-25 06:36:46,0 days 05:40:32,479,64,479,64,BetOutcome.WIN
Noita Soler TI 17-29,2025-05-25 12:58:44,0 days 00:15:36,92,227,227,92,BetOutcome.LOSS
Noita Soler TI 17-29,2025-05-25 13:16:42,0 days 00:20:58,89,192,192,89,BetOutcome.LOSS
Noita Soler TI 13-37,2025-05-30 06:49:00,0 days 00:19:43,55,190,190,55,BetOutcome.LOSS
Noita Snow Trip Challenge Daily Run,2025-05-30 08:59:35,0 days 02:21:56,345,41,345,41,BetOutcome.WIN
Noita Soler TI 15-30,2025-05-30 11:51:07,0 days 00:18:34,66,198,198,66,BetOutcome.LOSS
Noita Soler TI 15-30,2025-05-30 12:25:28,0 days 00:19:58,83,188,188,83,BetOutcome.LOSS
Noita Nightmare 7 Orb Run,2025-05-31 06:48:14,0 days 02:09:38,216,52,52,216,BetOutcome.LOSS
Noita Random Spawn Location,2025-05-31 09:31:38,0 days 00:19:08,163,135,135,163,BetOutcome.LOSS
Noita Random Start Location Mod Again,2025-05-31 09:51:04,0 days 00:05:41,108,152,152,108,BetOutcome.LOSS
Noita Random Start Location Mod AGAIN AGAIN,2025-05-31 09:57:28,0 days 00:35:17,85,138,85,138,BetOutcome.WIN
Noita Soler TI 15-30,2025-05-31 11:40:06,0 days 00:22:46,103,200,200,103,BetOutcome.LOSS
Noita Soler TI 15-30,2025-05-31 12:14:34,0 days 00:29:26,89,225,225,89,BetOutcome.LOSS
Noita 31 Orb Daily Run,2025-06-07 06:45:43,0 days 05:41:38,481,35,481,35,BetOutcome.WIN
Noita Soler TI 18-27,2025-06-08 06:25:46,0 days 00:15:54,87,216,216,87,BetOutcome.LOSS
Noita Roulette + Ask the gods,2025-06-08 08:01:57,0 days 03:37:29,482,47,482,47,BetOutcome.WIN
Noita Soler TI 18-27,2025-06-08 11:59:43,0 days 00:19:45,76,231,76,231,BetOutcome.WIN
Factorio Traveling To Solar System Edge,2025-06-11 09:23:07,0 days 00:51:12,128,29,128,29,BetOutcome.WIN
Noita Visit The Unfinished Quest Alter,2025-06-12 07:02:50,0 days 06:04:26,380,29,380,29,BetOutcome.WIN
Noita Soler TI 16-29,2025-06-13 07:41:12,0 days 00:22:04,76,220,220,76,BetOutcome.LOSS
Noita Soler TI 16-29,2025-06-13 08:03:54,0 days 00:20:39,62,216,216,62,BetOutcome.LOSS
Noita Omega Sawblade Wisp Daily Run,2025-06-13 08:46:47,0 days 05:02:07,350,31,350,31,BetOutcome.WIN
Noita Soler TI 16-29 5 options,2025-06-14 08:48:30,0 days 00:12:21,77,169,169,77,BetOutcome.LOSS
Noita Everyone Loves Larpa 1 win in 1 hour,2025-06-14 09:53:09,0 days 01:11:02,129,86,86,129,BetOutcome.LOSS
Noita Larpa Mod Goal Vault,2025-06-14 12:06:46,0 days 00:52:04,95,111,95,111,BetOutcome.WIN
Noita Soler TI 16-32 5 Options,2025-06-15 07:05:20,0 days 00:16:59,82,226,226,82,BetOutcome.LOSS
Noita Minigun All Boss Daily Run,2025-06-15 08:06:42,0 days 03:39:27,525,36,36,525,BetOutcome.LOSS
Noita Power Hour 8 Wins,2025-06-15 12:01:34,0 days 01:12:59,180,224,224,180,BetOutcome.LOSS
Noita Soler TI 13-29.,2025-06-20 06:56:21,0 days 00:28:14,95,217,217,95,BetOutcome.LOSS
Noita Soler TI 13-29,2025-06-20 07:43:51,0 days 00:34:38,113,247,113,247,BetOutcome.WIN
Notia Power Words 11 Attempts,2025-06-20 10:12:50,0 days 00:54:37,75,240,240,75,BetOutcome.LOSS
Noita Soler TI 13-29,2025-06-20 12:20:30,0 days 00:23:09,82,186,186,82,BetOutcome.LOSS
Noita Rainbow Sun Run,2025-06-21 06:20:59,0 days 07:08:02,447,49,447,49,BetOutcome.WIN
Noita All Perk Daily Run,2025-06-22 07:09:37,0 days 06:35:57,459,58,459,58,BetOutcome.WIN
Noita Soler TI 13-32,2025-06-28 06:56:22,0 days 00:14:42,84,253,84,253,BetOutcome.WIN
Noita Soler TI 16-24,2025-06-28 08:04:21,0 days 00:15:47,83,194,194,83,BetOutcome.LOSS
Noita Nightmare Max Fungal Shifts Run,2025-06-28 08:35:23,0 days 04:52:19,195,117,195,117,BetOutcome.WIN
Noita Random Start Run,2025-06-29 07:34:34,0 days 00:16:50,164,134,134,164,BetOutcome.LOSS
Noita Random Start Run,2025-06-29 07:55:06,0 days 00:10:01,147,127,127,147,BetOutcome.LOSS
Noita Gourd Moon Daily Run No Triggers Or Timers Allowed,2025-06-29 08:39:05,0 days 05:19:08,448,63,448,63,BetOutcome.WIN
Enter The Gungeon Final Boss,2025-07-02 11:38:02,0 days 00:15:34,150,45,150,45,BetOutcome.WIN
Noita Apotheosis Downunder Run (World is flipped),2025-07-03 07:29:12,0 days 04:09:23,266,95,266,95,BetOutcome.WIN
Noita Soler TI 13-37,2025-07-03 12:25:00,0 days 00:23:53,93,183,183,93,BetOutcome.LOSS
Noita Soler TI 13-37,2025-07-03 13:08:27,0 days 00:14:32,91,157,91,157,BetOutcome.WIN
Noita Soler TI 14-27,2025-07-04 08:08:59,0 days 00:18:08,61,205,205,61,BetOutcome.LOSS
